tissue,frequency,conductivity,permittivity,loss-tangent,penetration-depth
SkinDry,2.0500e+10, 1.9712e+1, 2.1561e+1, 8.0167e-1, 1.3357e-3
SkinDry,2.0600e+10, 1.9809e+1, 2.1482e+1, 8.0463e-1, 1.3273e-3
SkinDry,2.0700e+10, 1.9904e+1, 2.1403e+1, 8.0759e-1, 1.3190e-3
SkinDry,2.0800e+10, 2.0000e+1, 2.1324e+1, 8.1054e-1, 1.3108e-3
SkinDry,2.0900e+10, 2.0095e+1, 2.1246e+1, 8.1348e-1, 1.3027e-3
SkinDry,2.1000e+10, 2.0190e+1, 2.1168e+1, 8.1641e-1, 1.2948e-3
SkinDry,2.1100e+10, 2.0284e+1, 2.1091e+1, 8.1933e-1, 1.2869e-3
SkinDry,2.1200e+10, 2.0378e+1, 2.1014e+1, 8.2225e-1, 1.2792e-3
SkinDry,2.1300e+10, 2.0471e+1, 2.0937e+1, 8.2516e-1, 1.2715e-3
SkinDry,2.1400e+10, 2.0564e+1, 2.0860e+1, 8.2806e-1, 1.2639e-3
SkinDry,2.1500e+10, 2.0657e+1, 2.0784e+1, 8.3095e-1, 1.2565e-3
SkinDry,2.1600e+10, 2.0749e+1, 2.0709e+1, 8.3384e-1, 1.2491e-3
SkinDry,2.1700e+10, 2.0841e+1, 2.0633e+1, 8.3672e-1, 1.2418e-3
SkinDry,2.1800e+10, 2.0933e+1, 2.0558e+1, 8.3959e-1, 1.2347e-3
SkinDry,2.1900e+10, 2.1024e+1, 2.0483e+1, 8.4245e-1, 1.2276e-3
SkinDry,2.2000e+10, 2.1114e+1, 2.0409e+1, 8.4531e-1, 1.2206e-3
SkinDry,2.2100e+10, 2.1205e+1, 2.0335e+1, 8.4815e-1, 1.2136e-3
SkinDry,2.2200e+10, 2.1294e+1, 2.0261e+1, 8.5099e-1, 1.2068e-3
SkinDry,2.2300e+10, 2.1384e+1, 2.0188e+1, 8.5382e-1, 1.2001e-3
SkinDry,2.2400e+10, 2.1473e+1, 2.0115e+1, 8.5665e-1, 1.1934e-3
SkinDry,2.2500e+10, 2.1561e+1, 2.0042e+1, 8.5946e-1, 1.1868e-3
SkinDry,2.2600e+10, 2.1649e+1, 1.9970e+1, 8.6227e-1, 1.1803e-3
SkinDry,2.2700e+10, 2.1737e+1, 1.9898e+1, 8.6507e-1, 1.1739e-3
SkinDry,2.2800e+10, 2.1825e+1, 1.9826e+1, 8.6786e-1, 1.1675e-3
SkinDry,2.2900e+10, 2.1911e+1, 1.9755e+1, 8.7065e-1, 1.1613e-3
SkinDry,2.3000e+10, 2.1998e+1, 1.9684e+1, 8.7342e-1, 1.1551e-3
SkinDry,2.3100e+10, 2.2084e+1, 1.9613e+1, 8.7619e-1, 1.1490e-3
SkinDry,2.3200e+10, 2.2170e+1, 1.9543e+1, 8.7895e-1, 1.1429e-3
SkinDry,2.3300e+10, 2.2255e+1, 1.9473e+1, 8.8170e-1, 1.1369e-3
SkinDry,2.3400e+10, 2.2340e+1, 1.9403e+1, 8.8444e-1, 1.1310e-3
SkinDry,2.3500e+10, 2.2425e+1, 1.9334e+1, 8.8718e-1, 1.1252e-3
SkinDry,2.3600e+10, 2.2509e+1, 1.9265e+1, 8.8991e-1, 1.1194e-3
SkinDry,2.3700e+10, 2.2592e+1, 1.9197e+1, 8.9263e-1, 1.1137e-3
SkinDry,2.3800e+10, 2.2676e+1, 1.9128e+1, 8.9534e-1, 1.1081e-3
SkinDry,2.3900e+10, 2.2758e+1, 1.9060e+1, 8.9804e-1, 1.1025e-3
SkinDry,2.4000e+10, 2.2841e+1, 1.8993e+1, 9.0073e-1, 1.0970e-3
SkinDry,2.4100e+10, 2.2923e+1, 1.8925e+1, 9.0342e-1, 1.0915e-3
SkinDry,2.4200e+10, 2.3005e+1, 1.8859e+1, 9.0610e-1, 1.0862e-3
SkinDry,2.4300e+10, 2.3086e+1, 1.8792e+1, 9.0877e-1, 1.0808e-3
SkinDry,2.4400e+10, 2.3167e+1, 1.8726e+1, 9.1143e-1, 1.0756e-3
SkinDry,2.4500e+10, 2.3247e+1, 1.8660e+1, 9.1408e-1, 1.0704e-3
SkinDry,2.4600e+10, 2.3328e+1, 1.8594e+1, 9.1672e-1, 1.0652e-3
SkinDry,2.4700e+10, 2.3407e+1, 1.8529e+1, 9.1936e-1, 1.0601e-3
SkinDry,2.4800e+10, 2.3487e+1, 1.8464e+1, 9.2199e-1, 1.0551e-3
SkinDry,2.4900e+10, 2.3565e+1, 1.8399e+1, 9.2461e-1, 1.0501e-3
SkinDry,2.5000e+10, 2.3644e+1, 1.8335e+1, 9.2722e-1, 1.0452e-3
SkinDry,2.5100e+10, 2.3722e+1, 1.8271e+1, 9.2982e-1, 1.0403e-3
SkinDry,2.5200e+10, 2.3800e+1, 1.8207e+1, 9.3242e-1, 1.0355e-3
SkinDry,2.5300e+10, 2.3877e+1, 1.8144e+1, 9.3500e-1, 1.0307e-3
SkinDry,2.5400e+10, 2.3954e+1, 1.8081e+1, 9.3758e-1, 1.0260e-3
SkinDry,2.5500e+10, 2.4031e+1, 1.8018e+1, 9.4015e-1, 1.0213e-3
SkinDry,2.5600e+10, 2.4107e+1, 1.7956e+1, 9.4271e-1, 1.0167e-3
SkinDry,2.5700e+10, 2.4183e+1, 1.7894e+1, 9.4526e-1, 1.0122e-3
SkinDry,2.5800e+10, 2.4258e+1, 1.7832e+1, 9.4780e-1, 1.0076e-3
SkinDry,2.5900e+10, 2.4333e+1, 1.7771e+1, 9.5034e-1, 1.0032e-3
SkinDry,2.6000e+10, 2.4408e+1, 1.7709e+1, 9.5287e-1, 9.9874e-4
SkinDry,2.6100e+10, 2.4482e+1, 1.7649e+1, 9.5539e-1, 9.9436e-4
SkinDry,2.6200e+10, 2.4556e+1, 1.7588e+1, 9.5789e-1, 9.9003e-4
SkinDry,2.6300e+10, 2.4630e+1, 1.7528e+1, 9.6040e-1, 9.8574e-4
SkinDry,2.6400e+10, 2.4703e+1, 1.7468e+1, 9.6289e-1, 9.8150e-4
SkinDry,2.6500e+10, 2.4776e+1, 1.7409e+1, 9.6537e-1, 9.7730e-4
SkinDry,2.6600e+10, 2.4848e+1, 1.7349e+1, 9.6785e-1, 9.7314e-4
SkinDry,2.6700e+10, 2.4920e+1, 1.7290e+1, 9.7032e-1, 9.6903e-4
SkinDry,2.6800e+10, 2.4992e+1, 1.7232e+1, 9.7277e-1, 9.6495e-4
SkinDry,2.6900e+10, 2.5063e+1, 1.7173e+1, 9.7522e-1, 9.6092e-4
SkinDry,2.7000e+10, 2.5134e+1, 1.7115e+1, 9.7767e-1, 9.5693e-4
SkinDry,2.7100e+10, 2.5205e+1, 1.7058e+1, 9.8010e-1, 9.5298e-4
SkinDry,2.7200e+10, 2.5275e+1, 1.7000e+1, 9.8252e-1, 9.4906e-4
SkinDry,2.7300e+10, 2.5345e+1, 1.6943e+1, 9.8494e-1, 9.4519e-4
SkinDry,2.7400e+10, 2.5414e+1, 1.6886e+1, 9.8735e-1, 9.4135e-4
SkinDry,2.7500e+10, 2.5483e+1, 1.6830e+1, 9.8974e-1, 9.3756e-4
SkinDry,2.7600e+10, 2.5552e+1, 1.6774e+1, 9.9213e-1, 9.3380e-4
SkinDry,2.7700e+10, 2.5620e+1, 1.6718e+1, 9.9451e-1, 9.3007e-4
SkinDry,2.7800e+10, 2.5688e+1, 1.6662e+1, 9.9689e-1, 9.2638e-4
SkinDry,2.7900e+10, 2.5756e+1, 1.6607e+1, 9.9925e-1, 9.2273e-4
SkinDry,2.8000e+10, 2.5824e+1, 1.6552e+1, 1.0016e+0, 9.1912e-4
SkinDry,2.8100e+10, 2.5891e+1, 1.6497e+1, 1.0040e+0, 9.1553e-4
SkinDry,2.8200e+10, 2.5957e+1, 1.6442e+1, 1.0063e+0, 9.1199e-4
SkinDry,2.8300e+10, 2.6023e+1, 1.6388e+1, 1.0086e+0, 9.0847e-4
SkinDry,2.8400e+10, 2.6089e+1, 1.6334e+1, 1.0109e+0, 9.0499e-4
SkinDry,2.8500e+10, 2.6155e+1, 1.6281e+1, 1.0133e+0, 9.0155e-4
SkinDry,2.8600e+10, 2.6220e+1, 1.6227e+1, 1.0156e+0, 8.9813e-4
SkinDry,2.8700e+10, 2.6285e+1, 1.6174e+1, 1.0179e+0, 8.9475e-4
SkinDry,2.8800e+10, 2.6350e+1, 1.6122e+1, 1.0201e+0, 8.9140e-4
SkinDry,2.8900e+10, 2.6414e+1, 1.6069e+1, 1.0224e+0, 8.8808e-4
SkinDry,2.9000e+10, 2.6478e+1, 1.6017e+1, 1.0247e+0, 8.8479e-4
SkinDry,2.9100e+10, 2.6542e+1, 1.5965e+1, 1.0269e+0, 8.8153e-4
SkinDry,2.9200e+10, 2.6605e+1, 1.5913e+1, 1.0292e+0, 8.7830e-4
SkinDry,2.9300e+10, 2.6668e+1, 1.5862e+1, 1.0314e+0, 8.7510e-4
SkinDry,2.9400e+10, 2.6730e+1, 1.5811e+1, 1.0337e+0, 8.7193e-4
SkinDry,2.9500e+10, 2.6793e+1, 1.5760e+1, 1.0359e+0, 8.6879e-4
SkinDry,2.9600e+10, 2.6855e+1, 1.5709e+1, 1.0381e+0, 8.6568e-4
SkinDry,2.9700e+10, 2.6916e+1, 1.5659e+1, 1.0403e+0, 8.6260e-4
SkinDry,2.9800e+10, 2.6977e+1, 1.5609e+1, 1.0425e+0, 8.5954e-4
SkinDry,2.9900e+10, 2.7038e+1, 1.5559e+1, 1.0447e+0, 8.5651e-4
SkinDry,3.0000e+10, 2.7099e+1, 1.5510e+1, 1.0469e+0, 8.5351e-4
SkinDry,3.0100e+10, 2.7159e+1, 1.5460e+1, 1.0491e+0, 8.5054e-4
SkinDry,3.0200e+10, 2.7219e+1, 1.5412e+1, 1.0512e+0, 8.4759e-4
SkinDry,3.0300e+10, 2.7279e+1, 1.5363e+1, 1.0534e+0, 8.4467e-4
SkinDry,3.0400e+10, 2.7338e+1, 1.5314e+1, 1.0556e+0, 8.4177e-4
SkinDry,3.0500e+10, 2.7397e+1, 1.5266e+1, 1.0577e+0, 8.3890e-4
SkinDry,3.0600e+10, 2.7456e+1, 1.5218e+1, 1.0598e+0, 8.3605e-4
SkinDry,3.0700e+10, 2.7515e+1, 1.5171e+1, 1.0619e+0, 8.3323e-4
SkinDry,3.0800e+10, 2.7573e+1, 1.5123e+1, 1.0641e+0, 8.3043e-4
SkinDry,3.0900e+10, 2.7630e+1, 1.5076e+1, 1.0662e+0, 8.2766e-4
SkinDry,3.1000e+10, 2.7688e+1, 1.5029e+1, 1.0683e+0, 8.2491e-4
SkinDry,3.1100e+10, 2.7745e+1, 1.4982e+1, 1.0704e+0, 8.2219e-4
SkinDry,3.1200e+10, 2.7802e+1, 1.4936e+1, 1.0724e+0, 8.1948e-4
SkinDry,3.1300e+10, 2.7859e+1, 1.4890e+1, 1.0745e+0, 8.1681e-4
SkinDry,3.1400e+10, 2.7915e+1, 1.4844e+1, 1.0766e+0, 8.1415e-4
SkinDry,3.1500e+10, 2.7971e+1, 1.4798e+1, 1.0786e+0, 8.1152e-4
SkinDry,3.1600e+10, 2.8027e+1, 1.4753e+1, 1.0807e+0, 8.0890e-4
SkinDry,3.1700e+10, 2.8082e+1, 1.4708e+1, 1.0827e+0, 8.0631e-4
SkinDry,3.1800e+10, 2.8137e+1, 1.4663e+1, 1.0847e+0, 8.0375e-4
SkinDry,3.1900e+10, 2.8192e+1, 1.4618e+1, 1.0867e+0, 8.0120e-4
SkinDry,3.2000e+10, 2.8246e+1, 1.4573e+1, 1.0888e+0, 7.9867e-4
SkinDry,3.2100e+10, 2.8301e+1, 1.4529e+1, 1.0908e+0, 7.9617e-4
SkinDry,3.2200e+10, 2.8355e+1, 1.4485e+1, 1.0928e+0, 7.9369e-4
SkinDry,3.2300e+10, 2.8408e+1, 1.4441e+1, 1.0947e+0, 7.9122e-4
SkinDry,3.2400e+10, 2.8462e+1, 1.4398e+1, 1.0967e+0, 7.8878e-4
